CustomerKey_Output,CustomerID_Source,CustomerID_Output,CustomerID_Reason,CustomerID_Confidence,CustomerID_Status,Fullname_Source,Fullname_Output,Fullname_Reason,Fullname_Confidence,Fullname_Status,CompanyName_Source,CompanyName_Output,CompanyName_Reason,CompanyName_Confidence,CompanyName_Status,Record_Status
22,29,"29,00",New value,,New,Bryan Hamilton,Bryan Hamilton,New value,,New,Cross-Country Riding Supplies,Cross-Country Riding Supplies,New value,,New,New
23,30,"30,00",New value,,New,Todd Logan,Todd Logan,New value,,New,Cycle Merchants,Cycle Merchants,New value,,New,New
24,34,"34,00",New value,,New,Barbara German,Barbara German,New value,,New,Cycles Wholesaler & Mfg.,Cycles Wholesaler & Mfg.,New value,,New,New
25,37,"37,00",New value,,New,Jim Geist,Jim Geist,New value,,New,Two Bike Shops,Two Bike Shops,New value,,New,New
26,38,"38,00",New value,,New,Betty Haines,Betty Haines,New value,,New,Finer Mart,Finer Mart,New value,,New,New
27,39,"39,00",New value,,New,Sharon Looney,Sharon Looney,New value,,New,Fitness Hotel,Fitness Hotel,New value,,New,New
28,40,"40,00",New value,,New,Darren Gehring,Darren Gehring,New value,,New,Journey Sporting Goods,Journey Sporting Goods,New value,,New,New
29,41,"41,00",New value,,New,Erin Hagens,Erin Hagens,New value,,New,Distant Inn,Distant Inn,New value,,New,New
30,42,"42,00",New value,,New,Jeremy Los,Jeremy Los,New value,,New,Healthy Activity Store,Healthy Activity Store,New value,,New,New
31,43,"43,00",New value,,New,Elsa Leavitt,Elsa Leavitt,New value,,New,Frugal Bike Shop,Frugal Bike Shop,New value,,New,New
32,46,"46,00",New value,,New,David Lawrence,David Lawrence,New value,,New,Gear-Shift Bikes Limited,Gear-Shift Bikes Limited,New value,,New,New
33,47,"47,00",New value,,New,Hattie Haemon,Hattie Haemon,New value,,New,Greater Bike Store,Greater Bike Store,New value,,New,New
34,48,"48,00",New value,,New,Anita Lucerne,Anita Lucerne,New value,,New,Grand Industries,Grand Industries,New value,,New,New
35,52,"52,00",New value,,New,Rebecca Laszlo,Rebecca Laszlo,New value,,New,Instruments and Parts Company,Instruments and Parts Company,New value,,New,New
36,55,"55,00",New value,,New,Eric Lang,Eric Lang,New value,,New,Kickstands and Accessories Company,Kickstands and Accessories Company,New value,,New,New
37,56,"56,00",New value,,New,Brian Groth,Brian Groth,New value,,New,Latest Accessories Sales,Latest Accessories Sales,New value,,New,New
38,57,"57,00",New value,,New,Judy Lundahl,Judy Lundahl,New value,,New,Leading Sales & Repair,Leading Sales & Repair,New value,,New,New
39,58,"58,00",New value,,New,Peter Kurniawan,Peter Kurniawan,New value,,New,Largest Bike Store,Largest Bike Store,New value,,New,New
40,59,"59,00",New value,,New,Douglas Groncki,Douglas Groncki,New value,,New,Locks Company,Locks Company,New value,,New,New
41,60,"60,00",New value,,New,Sean Lunt,Sean Lunt,New value,,New,Main Bicycle Services,Main Bicycle Services,New value,,New,New
42,61,"61,00",New value,,New,Jeffrey Kurtz,Jeffrey Kurtz,New value,,New,Many Bikes Store,Many Bikes Store,New value,,New,New
43,64,"64,00",New value,,New,Vamsi Kuppa,Vamsi Kuppa,New value,,New,Metal Clearing House,Metal Clearing House,New value,,New,New
44,65,"65,00",New value,,New,Jane Greer,Jane Greer,New value,,New,Metro Manufacturing,Metro Manufacturing,New value,,New,New
45,66,"66,00",New value,,New,Alexander Deborde,Alexander Deborde,New value,,New,Neighborhood Store,Neighborhood Store,New value,,New,New
46,70,"70,00",New value,,New,Deepak Kumar,Deepak Kumar,New value,,New,Outdoor Aerobic Systems Company,Outdoor Aerobic Systems Company,New value,,New,New
47,73,"73,00",New value,,New,Margaret Krupka,Margaret Krupka,New value,,New,Outdoor Sports Supply,Outdoor Sports Supply,New value,,New,New
48,74,"74,00",New value,,New,Christopher Bright,Christopher Bright,New value,,New,Parcel Express Delivery Service,Parcel Express Delivery Service,New value,,New,New
49,75,"75,00",New value,,New,Aidan Delaney,Aidan Delaney,New value,,New,Paint Supply,Paint Supply,New value,,New,New
50,76,"76,00",New value,,New,James Krow,James Krow,New value,,New,Out-of-the-Way Hotels,Out-of-the-Way Hotels,New value,,New,New
51,77,"77,00",New value,,New,Michael Brundage,Michael Brundage,New value,,New,Mechanical Products Ltd.,Mechanical Products Ltd.,New value,,New,New
52,78,"78,00",New value,,New,Stefan Delmarco,Stefan Delmarco,New value,,New,Preferred Bikes,Preferred Bikes,New value,,New,New
53,79,"79,00",New value,,New,Mitch Kennedy,Mitch Kennedy,New value,,New,Reasonable Bicycle Sales,Reasonable Bicycle Sales,New value,,New,New
54,82,"82,00",New value,,New,James Kramer,James Kramer,New value,,New,Refined Department Stores,Refined Department Stores,New value,,New,New
55,83,"83,00",New value,,New,Eric Brumfield,Eric Brumfield,New value,,New,Requisite Part Supply,Requisite Part Supply,New value,,New,New
56,84,"84,00",New value,,New,Della Demott Jr,Della Demott Jr,New value,,New,Rewarding Activities Company,Rewarding Activities Company,New value,,New,New
57,88,"88,00",New value,,New,Pamala Kotc,Pamala Kotc,New value,,New,Closest Bicycle Store,Closest Bicycle Store,New value,,New,New
58,91,"91,00",New value,,New,Joy Koski,Joy Koski,New value,,New,Scooters and Bikes Store,Scooters and Bikes Store,New value,,New,New
59,92,"92,00",New value,,New,Jovita Carmody,Jovita Carmody,New value,,New,Sports Commodities,Sports Commodities,New value,,New,New
60,93,"93,00",New value,,New,Prashanth Desai,Prashanth Desai,New value,,New,Stationary Bikes and Stands,Stationary Bikes and Stands,New value,,New,New
61,94,"94,00",New value,,New,Scott Konersmann,Scott Konersmann,New value,,New,Specialty Sports Store,Specialty Sports Store,New value,,New,New
62,95,"95,00",New value,,New,Jane Carmichael,Jane Carmichael,New value,,New,Rural Department Store,Rural Department Store,New value,,New,New
63,96,"96,00",New value,,New,Bonnie Lepro,Bonnie Lepro,New value,,New,More Bikes!,More Bikes!,New value,,New,New
64,97,"97,00",New value,,New,Eugene Kogan,Eugene Kogan,New value,,New,Mountain Bike Center,Mountain Bike Center,New value,,New,New
65,100,"100,00",New value,,New,Kirk King,Kirk King,New value,,New,Up-To-Date Sports,Up-To-Date Sports,New value,,New,New
66,101,"101,00",New value,,New,William Conner,William Conner,New value,,New,Urban Sports Emporium,Urban Sports Emporium,New value,,New,New
67,102,"102,00",New value,,New,Linda Leste,Linda Leste,New value,,New,National Manufacturing,National Manufacturing,New value,,New,New
68,106,"106,00",New value,,New,Andrea Thomsen,Andrea Thomsen,New value,,New,West Side Mart,West Side Mart,New value,,New,New
69,109,"109,00",New value,,New,Daniel Thompson,Daniel Thompson,New value,,New,Travel Sports,Travel Sports,New value,,New,New
70,110,"110,00",New value,,New,Kendra Thompson,Kendra Thompson,New value,,New,Vintage Sport Boutique,Vintage Sport Boutique,New value,,New,New
71,111,"111,00",New value,,New,Scott Colvin,Scott Colvin,New value,,New,Westside Cycle Store,Westside Cycle Store,New value,,New,New
72,112,"112,00",New value,,New,Elsie Lewin,Elsie Lewin,New value,,New,Town Industries,Town Industries,New value,,New,New
73,113,"113,00",New value,,New,Donald Thompson,Donald Thompson,New value,,New,Trendy Department Stores,Trendy Department Stores,New value,,New,New
74,114,"114,00",New value,,New,John Colon,John Colon,New value,,New,Two Wheels Cycle Store,Two Wheels Cycle Store,New value,,New,New
75,115,"115,00",New value,,New,George Li,George Li,New value,,New,Security Racks and Locks Wholesalers,Security Racks and Locks Wholesalers,New value,,New,New
76,118,"118,00",New value,,New,Yale Li,Yale Li,New value,,New,Rapid Bikes,Rapid Bikes,New value,,New,New
77,119,"119,00",New value,,New,Phyllis Thomas,Phyllis Thomas,New value,,New,Red Bicycle Company,Red Bicycle Company,New value,,New,New
78,120,"120,00",New value,,New,Pat Coleman,Pat Coleman,New value,,New,Machines & Cycles Store,Machines & Cycles Store,New value,,New,New
79,124,"124,00",New value,,New,Yuhong Li,Yuhong Li,New value,,New,Nearby Sporting Goods,Nearby Sporting Goods,New value,,New,New
80,127,"127,00",New value,,New,Joseph Lique,Joseph Lique,New value,,New,Front Sporting Goods,Front Sporting Goods,New value,,New,New
81,128,"128,00",New value,,New,Judy Thames,Judy Thames,New value,,New,Demand Distributors,Demand Distributors,New value,,New,New
82,129,"129,00",New value,,New,Connie Coffman,Connie Coffman,New value,,New,Discount Bicycle Specialists,Discount Bicycle Specialists,New value,,New,New
83,130,"130,00",New value,,New,Paulo Lisboa,Paulo Lisboa,New value,,New,Elite Bikes,Elite Bikes,New value,,New,New
84,131,"131,00",New value,,New,Vanessa Tench,Vanessa Tench,New value,,New,Eighth Bike Store,Eighth Bike Store,New value,,New,New
85,132,"132,00",New value,,New,Teanna Cobb,Teanna Cobb,New value,,New,Another Sporting Goods Company,Another Sporting Goods Company,New value,,New,New
86,133,"133,00",New value,,New,Michael Graff,Michael Graff,New value,,New,Commercial Sporting Goods,Commercial Sporting Goods,New value,,New,New
87,136,"136,00",New value,,New,Derek Graham,Derek Graham,New value,,New,Wholesale Parts,Wholesale Parts,New value,,New,New
88,137,"137,00",New value,,New,Gytis Barzdukas,Gytis Barzdukas,New value,,New,Transportation Options,Transportation Options,New value,,New,New
89,138,"138,00",New value,,New,Jane Clayton,Jane Clayton,New value,,New,South Bike Company,South Bike Company,New value,,New,New
90,142,"142,00",New value,,New,Jon Grande,Jon Grande,New value,,New,Riding Cycles,Riding Cycles,New value,,New,New
91,145,"145,00",New value,,New,Ted Bremer,Ted Bremer,New value,,New,Raw Materials Inc,Raw Materials Inc,New value,,New,New
92,146,"146,00",New value,,New,Richard Bready,Richard Bready,New value,,New,Latest Sports Equipment,Latest Sports Equipment,New value,,New,New
93,147,"147,00",New value,,New,Alice Clark,Alice Clark,New value,,New,Local Hardware Factory,Local Hardware Factory,New value,,New,New
94,148,"148,00",New value,,New,Alan Brewer,Alan Brewer,New value,,New,Lots of Bikes Storehouse,Lots of Bikes Storehouse,New value,,New,New
95,149,"149,00",New value,,New,Cornelius Brandon,Cornelius Brandon,New value,,New,Initial Bike Company,Initial Bike Company,New value,,New,New
96,150,"150,00",New value,,New,Jill Christie,Jill Christie,New value,,New,Fleet Bikes,Fleet Bikes,New value,,New,New
97,151,"151,00",New value,,New,Walter Brian,Walter Brian,New value,,New,Futuristic Bikes,Futuristic Bikes,New value,,New,New
98,154,"154,00",New value,,New,Carlton Carlisle,Carlton Carlisle,New value,,New,Camping and Sports Store,Camping and Sports Store,New value,,New,New
99,155,"155,00",New value,,New,Joseph Castellucio,Joseph Castellucio,New value,,New,Corner Bicycle Supply,Corner Bicycle Supply,New value,,New,New
100,156,"156,00",New value,,New,Lester Bowman,Lester Bowman,New value,,New,Metal Processing Company,Metal Processing Company,New value,,New,New
101,160,"160,00",New value,,New,Brigid Cavendish,Brigid Cavendish,New value,,New,Vigorous Sports Store,Vigorous Sports Store,New value,,New,New
102,163,"163,00",New value,,New,Andrew Cencini,Andrew Cencini,New value,,New,Sports Merchandise,Sports Merchandise,New value,,New,New
103,164,"164,00",New value,,New,Cindy Dodd,Cindy Dodd,New value,,New,Suburban Cycle Shop,Suburban Cycle Shop,New value,,New,New
104,165,"165,00",New value,,New,Randall Boseman,Randall Boseman,New value,,New,Third Bike Store,Third Bike Store,New value,,New,New
105,166,"166,00",New value,,New,Stacey Cereghino,Stacey Cereghino,New value,,New,Fitness Toy Store,Fitness Toy Store,New value,,New,New
106,167,"167,00",New value,,New,Blaine Dockter,Blaine Dockter,New value,,New,Farthermost Bike Shop,Farthermost Bike Shop,New value,,New,New
107,168,"168,00",New value,,New,Luis Bonifaz,Luis Bonifaz,New value,,New,Economy Bikes Company,Economy Bikes Company,New value,,New,New
108,169,"169,00",New value,,New,Brenda Diaz,Brenda Diaz,New value,,New,Downtown Hotel,Downtown Hotel,New value,,New,New
109,172,"172,00",New value,,New,Gabriele Dickmann,Gabriele Dickmann,New value,,New,Certified Sports Supply,Certified Sports Supply,New value,,New,New
110,173,"173,00",New value,,New,Rudolph Dillon,Rudolph Dillon,New value,,New,Sundry Sporting Goods,Sundry Sporting Goods,New value,,New,New
111,174,"174,00",New value,,New,Michael Bohling,Michael Bohling,New value,,New,Toy Manufacturing Inc,Toy Manufacturing Inc,New value,,New,New
112,178,"178,00",New value,,New,Dick Dievendorff,Dick Dievendorff,New value,,New,Rampart Amusement Company,Rampart Amusement Company,New value,,New,New
113,180,"180,00",New value,,New,Nicky Chesnut,Nicky Chesnut,New value,,New,Full-Service Bike Store,Full-Service Bike Store,New value,,New,New
114,181,"181,00",New value,,New,Michael Lee,Michael Lee,New value,,New,Family Entertainment Center,Family Entertainment Center,New value,,New,New
115,182,"182,00",New value,,New,Stanley Alan,Stanley Alan,New value,,New,Another Bicycle Company,Another Bicycle Company,New value,,New,New
116,183,"183,00",New value,,New,Yao-Qiang Cheng,Yao-Qiang Cheng,New value,,New,This Area Sporting Goods,This Area Sporting Goods,New value,,New,New
117,184,"184,00",New value,,New,Marjorie Lee,Marjorie Lee,New value,,New,Go-cart and Bike Specialists,Go-cart and Bike Specialists,New value,,New,New
118,185,"185,00",New value,,New,Sandeep Kaliyath,Sandeep Kaliyath,New value,,New,Weekend Bike Tours,Weekend Bike Tours,New value,,New,New
119,186,"186,00",New value,,New,Pei Chow,Pei Chow,New value,,New,Thrilling Bike Tours,Thrilling Bike Tours,New value,,New,New
120,187,"187,00",New value,,New,Frank Campbell,Frank Campbell,New value,,New,Trailblazing Sports,Trailblazing Sports,New value,,New,New
121,190,"190,00",New value,,New,Mark Lee,Mark Lee,New value,,New,Racing Partners,Racing Partners,New value,,New,New
122,191,"191,00",New value,,New,Sandra Kitt,Sandra Kitt,New value,,New,Non-Slip Pedal Company,Non-Slip Pedal Company,New value,,New,New
123,192,"192,00",New value,,New,Hao Chen,Hao Chen,New value,,New,Nuts and Bolts Mfg.,Nuts and Bolts Mfg.,New value,,New,New
124,196,"196,00",New value,,New,Jolie Lenehan,Jolie Lenehan,New value,,New,Exhibition Showroom,Exhibition Showroom,New value,,New,New
125,197,"197,00",New value,,New,Diane Krane,Diane Krane,New value,,New,"Fabrikam Inc., West","Fabrikam Inc., West",New value,,New,New
126,198,"198,00",New value,,New,Payton Benson,Payton Benson,New value,,New,Field Trip Inc,Field Trip Inc,New value,,New,New
127,199,"199,00",New value,,New,Roger Lengel,Roger Lengel,New value,,New,Authorized Bike Sales and Rental,Authorized Bike Sales and Rental,New value,,New,New
128,200,"200,00",New value,,New,Peggy Justice,Peggy Justice,New value,,New,Basic Bike Company,Basic Bike Company,New value,,New,New
129,201,"201,00",New value,,New,Edna Benson,Edna Benson,New value,,New,Unsurpassed Bikes,Unsurpassed Bikes,New value,,New,New
130,202,"202,00",New value,,New,A. Leonetti,A. Leonetti,New value,,New,Two-Seater Bikes,Two-Seater Bikes,New value,,New,New
131,203,"203,00",New value,,New,Jean Jordan,Jean Jordan,New value,,New,Separate Parts Corporation,Separate Parts Corporation,New value,,New,New
132,204,"204,00",New value,,New,Ido Ben-Sachar,Ido Ben-Sachar,New value,,New,Traction Tire Company,Traction Tire Company,New value,,New,New
133,205,"205,00",New value,,New,Frank Mart¡nez,Frank Mart¡nez,New value,,New,Rally Master Company Inc,Rally Master Company Inc,New value,,New,New
134,208,"208,00",New value,,New,Steve Masters,Steve Masters,New value,,New,Professional Cyclists,Professional Cyclists,New value,,New,New
135,209,"209,00",New value,,New,Robert Jones,Robert Jones,New value,,New,Purple Bicycle Company,Purple Bicycle Company,New value,,New,New
136,210,"210,00",New value,,New,Josh Barnhill,Josh Barnhill,New value,,New,Gasless Cycle Shop,Gasless Cycle Shop,New value,,New,New
137,214,"214,00",New value,,New,Jennifer Maxham,Jennifer Maxham,New value,,New,Exclusive Bicycle Mart,Exclusive Bicycle Mart,New value,,New,New
138,217,"217,00",New value,,New,Chris Maxwell,Chris Maxwell,New value,,New,City Manufacturing,City Manufacturing,New value,,New,New
139,218,"218,00",New value,,New,David Johnson,David Johnson,New value,,New,Sure & Reliable Sporting Goods,Sure & Reliable Sporting Goods,New value,,New,New
140,219,"219,00",New value,,New,Brian Johnson,Brian Johnson,New value,,New,Extras Sporting Goods,Extras Sporting Goods,New value,,New,New
141,220,"220,00",New value,,New,Robert Brown,Robert Brown,New value,,New,Best o' Bikes,Best o' Bikes,New value,,New,New
142,221,"221,00",New value,,New,Sandra Maynard,Sandra Maynard,New value,,New,Bike Dealers Association,Bike Dealers Association,New value,,New,New
143,222,"222,00",New value,,New,Barry Johnson,Barry Johnson,New value,,New,Sample Bike Store,Sample Bike Store,New value,,New,New
144,223,"223,00",New value,,New,Joyce Jarvis,Joyce Jarvis,New value,,New,Paints and Solvents Company,Paints and Solvents Company,New value,,New,New
145,226,"226,00",New value,,New,Vance Johns,Vance Johns,New value,,New,Leisure Activities,Leisure Activities,New value,,New,New
146,227,"227,00",New value,,New,Robin McGuigan,Robin McGuigan,New value,,New,"Health Spa, Limited","Health Spa, Limited",New value,,New,New
147,228,"228,00",New value,,New,Danielle Johnson,Danielle Johnson,New value,,New,Home Town Bike Store,Home Town Bike Store,New value,,New,New
148,232,"232,00",New value,,New,David Jaffe,David Jaffe,New value,,New,Exceptional Cycle Services,Exceptional Cycle Services,New value,,New,New
149,235,"235,00",New value,,New,Mary Alexander,Mary Alexander,New value,,New,Certified Bicycle Supply,Certified Bicycle Supply,New value,,New,New
150,236,"236,00",New value,,New,Lola McCarthy,Lola McCarthy,New value,,New,Closeout Boutique,Closeout Boutique,New value,,New,New
151,237,"237,00",New value,,New,Mary Browning,Mary Browning,New value,,New,Client Discount Store,Client Discount Store,New value,,New,New
152,238,"238,00",New value,,New,Jodan Jacobson,Jodan Jacobson,New value,,New,A Great Bicycle Company,A Great Bicycle Company,New value,,New,New
153,239,"239,00",New value,,New,Jane McCarty,Jane McCarty,New value,,New,Bicycle Merchandise Warehouse,Bicycle Merchandise Warehouse,New value,,New,New
154,240,"240,00",New value,,New,Jessie Valerio,Jessie Valerio,New value,,New,Wire Baskets and Parts,Wire Baskets and Parts,New value,,New,New
155,241,"241,00",New value,,New,Eric Jacobsen,Eric Jacobsen,New value,,New,Vale Riding Supplies,Vale Riding Supplies,New value,,New,New
156,244,"244,00",New value,,New,Bronson Jacobs,Bronson Jacobs,New value,,New,Retail Discount Store,Retail Discount Store,New value,,New,New
157,245,"245,00",New value,,New,James McCoy,James McCoy,New value,,New,Leather Seat Factory,Leather Seat Factory,New value,,New,New
158,246,"246,00",New value,,New,Esther Valle,Esther Valle,New value,,New,Large Bike Shop,Large Bike Shop,New value,,New,New
159,250,"250,00",New value,,New,Denean Ison,Denean Ison,New value,,New,Express Bike Services,Express Bike Services,New value,,New,New
160,253,"253,00",New value,,New,Erik Ismert,Erik Ismert,New value,,New,Roving Sports,Roving Sports,New value,,New,New
161,254,"254,00",New value,,New,Robert Bernacchi,Robert Bernacchi,New value,,New,Safe Cycles Shop,Safe Cycles Shop,New value,,New,New
162,255,"255,00",New value,,New,Sunil Uppal,Sunil Uppal,New value,,New,Swift Cycles,Swift Cycles,New value,,New,New
163,256,"256,00",New value,,New,Richard Irwin,Richard Irwin,New value,,New,Rental Bikes,Rental Bikes,New value,,New,New
164,257,"257,00",New value,,New,Matthias Berndt,Matthias Berndt,New value,,New,Number 1 Supply,Number 1 Supply,New value,,New,New
165,258,"258,00",New value,,New,Sairaj Uddin,Sairaj Uddin,New value,,New,Quantity Discounts,Quantity Discounts,New value,,New,New
166,259,"259,00",New value,,New,Lucio Iallo,Lucio Iallo,New value,,New,Highway Bike Shop,Highway Bike Shop,New value,,New,New
167,262,"262,00",New value,,New,Beth Inghram,Beth Inghram,New value,,New,General Industries,General Industries,New value,,New,New
168,263,"263,00",New value,,New,Timothy Burnett,Timothy Burnett,New value,,New,Farthest Bike Store,Farthest Bike Store,New value,,New,New
169,264,"264,00",New value,,New,Phyllis Tuffield,Phyllis Tuffield,New value,,New,Fasteners & Bolts Outlet,Fasteners & Bolts Outlet,New value,,New,New
170,268,"268,00",New value,,New,Richard Byham,Richard Byham,New value,,New,Channel Outlet,Channel Outlet,New value,,New,New
171,271,"271,00",New value,,New,Jared Bustamante,Jared Bustamante,New value,,New,Alternative Vehicles,Alternative Vehicles,New value,,New,New
172,272,"272,00",New value,,New,Henry Campen,Henry Campen,New value,,New,Metro Cycle Shop,Metro Cycle Shop,New value,,New,New
173,273,"273,00",New value,,New,Christie Trujillo,Christie Trujillo,New value,,New,A Typical Bike Shop,A Typical Bike Shop,New value,,New,New
174,274,"274,00",New value,,New,Janet Gilliat,Janet Gilliat,New value,,New,Active Systems,Active Systems,New value,,New,New
175,275,"275,00",New value,,New,Chris Cannon,Chris Cannon,New value,,New,Outdoor Sporting Goods,Outdoor Sporting Goods,New value,,New,New
176,276,"276,00",New value,,New,Michael John Troyer,Michael John Troyer,New value,,New,Thrifty Parts and Sales,Thrifty Parts and Sales,New value,,New,New
177,277,"277,00",New value,,New,Guy Gilbert,Guy Gilbert,New value,,New,The Bicycle Accessories Company,The Bicycle Accessories Company,New value,,New,New
178,280,"280,00",New value,,New,Frances Giglio,Frances Giglio,New value,,New,Standard Bikes,Standard Bikes,New value,,New,New
179,281,"281,00",New value,,New,Suzana De Abreu Canuto,Suzana De Abreu Canuto,New value,,New,Petroleum Products Distributors,Petroleum Products Distributors,New value,,New,New
180,282,"282,00",New value,,New,Billy Trent,Billy Trent,New value,,New,Quick Parts and Service,Quick Parts and Service,New value,,New,New
181,286,"286,00",New value,,New,Leo Giakoumakis,Leo Giakoumakis,New value,,New,Number One Bike Co.,Number One Bike Co.,New value,,New,New
182,287,"287,00",New value,,New,Grant Culbertson,Grant Culbertson,New value,,New,Handy Bike Services,Handy Bike Services,New value,,New,New
183,288,"288,00",New value,,New,Robert Barker,Robert Barker,New value,,New,Kickstand Sellers,Kickstand Sellers,New value,,New,New
184,289,"289,00",New value,,New,Gabriel Bockenkamp,Gabriel Bockenkamp,New value,,New,Moderately-Priced Bikes Store,Moderately-Priced Bikes Store,New value,,New,New
185,290,"290,00",New value,,New,Scott Culp,Scott Culp,New value,,New,Friendly Bike Shop,Friendly Bike Shop,New value,,New,New
186,291,"291,00",New value,,New,Wayne Banack,Wayne Banack,New value,,New,Grand Bicycle Stores,Grand Bicycle Stores,New value,,New,New
187,292,"292,00",New value,,New,Michael Blythe,Michael Blythe,New value,,New,Grease and Oil Products Company,Grease and Oil Products Company,New value,,New,New
188,293,"293,00",New value,,New,Conor Cunningham,Conor Cunningham,New value,,New,Fashionable Bikes and Accessories,Fashionable Bikes and Accessories,New value,,New,New
189,294,"294,00",New value,,New,Alberto Baltazar,Alberto Baltazar,New value,,New,Flawless Bike Shop,Flawless Bike Shop,New value,,New,New
190,295,"295,00",New value,,New,Joseph Mitzner,Joseph Mitzner,New value,,New,Engineered Bike Systems,Engineered Bike Systems,New value,,New,New
191,298,"298,00",New value,,New,Robert Mitosinka,Robert Mitosinka,New value,,New,City Cycling,City Cycling,New value,,New,New
192,299,"299,00",New value,,New,Thierry D'Hers,Thierry D'Hers,New value,,New,Citywide Service and Repair,Citywide Service and Repair,New value,,New,New
193,300,"300,00",New value,,New,Daniel Blanco,Daniel Blanco,New value,,New,Nice Bikes,Nice Bikes,New value,,New,New
194,304,"304,00",New value,,New,Linda Mitchell,Linda Mitchell,New value,,New,Essential Bike Works,Essential Bike Works,New value,,New,New
195,306,"306,00",New value,,New,Stephen Ayers,Stephen Ayers,New value,,New,Work and Play Association,Work and Play Association,New value,,New,New
196,307,"307,00",New value,,New,Neva Mitchell,Neva Mitchell,New value,,New,Riding Associates,Riding Associates,New value,,New,New
197,308,"308,00",New value,,New,Megan Davis,Megan Davis,New value,,New,Rugged Bikes,Rugged Bikes,New value,,New,New
198,309,"309,00",New value,,New,John Arthur,John Arthur,New value,,New,The Gear Store,The Gear Store,New value,,New,New
199,310,"310,00",New value,,New,Frank Miller,Frank Miller,New value,,New,Orange Bicycle Company,Orange Bicycle Company,New value,,New,New
200,311,"311,00",New value,,New,Alvaro De Matos Miranda Filho,Alvaro De Matos Miranda Filho,New value,,New,Principal Bike Company,Principal Bike Company,New value,,New,New
201,312,"312,00",New value,,New,Thomas Armstrong,Thomas Armstrong,New value,,New,Resale Services,Resale Services,New value,,New,New
202,313,"313,00",New value,,New,Dylan Miller,Dylan Miller,New value,,New,Metropolitan Manufacturing,Metropolitan Manufacturing,New value,,New,New
203,316,"316,00",New value,,New,Ben Miller,Ben Miller,New value,,New,Low Price Cycles,Low Price Cycles,New value,,New,New
204,317,"317,00",New value,,New,Jacob Dean,Jacob Dean,New value,,New,Finer Riding Supplies,Finer Riding Supplies,New value,,New,New
205,318,"318,00",New value,,New,Ann Beebe,Ann Beebe,New value,,New,First-Rate Outlet,First-Rate Outlet,New value,,New,New
206,322,"322,00",New value,,New,Matthew Miller,Matthew Miller,New value,,New,Tachometers and Accessories,Tachometers and Accessories,New value,,New,New
